month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01,Bronx,1,LCL/LTD,BX1,Off-Peak,21090.045,3085,6.835836
2020-01-01,Bronx,1,LCL/LTD,BX1,Peak,8898.787,1360,6.542821
2020-01-01,Bronx,2,LCL/LTD,BX1,Off-Peak,7162.781,1018,7.035971
2020-01-01,Bronx,2,LCL/LTD,BX1,Peak,2749.674,395,6.956308
2020-01-01,Bronx,1,LCL/LTD,BX10,Off-Peak,23386.701,2678,8.732065
2020-01-01,Bronx,1,LCL/LTD,BX10,Peak,11047.271,1462,7.556005
2020-01-01,Bronx,2,LCL/LTD,BX10,Off-Peak,7291.988,759,9.603282
2020-01-01,Bronx,2,LCL/LTD,BX10,Peak,2832.457,313,9.041102
2020-01-01,Bronx,1,LCL/LTD,BX11,Off-Peak,15961.401,2696,5.919947
2020-01-01,Bronx,1,LCL/LTD,BX11,Peak,8114.594,1558,5.2078824
2020-01-01,Bronx,2,LCL/LTD,BX11,Off-Peak,6125.868,936,6.5397644
2020-01-01,Bronx,2,LCL/LTD,BX11,Peak,2523.477,408,6.176738
2020-01-01,Bronx,1,LCL/LTD,BX12,Off-Peak,16343.837,1825,8.95325
2020-01-01,Bronx,1,LCL/LTD,BX12,Peak,5882.787,785,7.4852924
2020-01-01,Bronx,2,LCL/LTD,BX12,Off-Peak,7046.382,698,10.088816
2020-01-01,Bronx,2,LCL/LTD,BX12,Peak,2248.238,238,9.424774
2020-01-01,Bronx,1,SBS,BX12+,Off-Peak,33721.812,3532,9.546405
2020-01-01,Bronx,1,SBS,BX12+,Peak,16727.904,1930,8.666668
2020-01-01,Bronx,2,SBS,BX12+,Off-Peak,11895.368,1187,10.019906
2020-01-01,Bronx,2,SBS,BX12+,Peak,5410.11,547,9.887283
2020-01-01,Bronx,1,LCL/LTD,BX13,Off-Peak,9769.072,1503,6.495734
2020-01-01,Bronx,1,LCL/LTD,BX13,Peak,5695.193,1019,5.585255
2020-01-01,Bronx,2,LCL/LTD,BX13,Off-Peak,3394.037,508,6.6761446
2020-01-01,Bronx,2,LCL/LTD,BX13,Peak,1539.115,242,6.3409824
2020-01-01,Bronx,1,LCL/LTD,BX15,Off-Peak,29950.97,4911,6.098572
2020-01-01,Bronx,1,LCL/LTD,BX15,Peak,12861.708,2355,5.4605546
2020-01-01,Bronx,2,LCL/LTD,BX15,Off-Peak,11954.806,1842,6.4888086
2020-01-01,Bronx,2,LCL/LTD,BX15,Peak,4493.491,732,6.130911
2020-01-01,Bronx,1,LCL/LTD,BX16,Off-Peak,15426.421,1742,8.851128
2020-01-01,Bronx,1,LCL/LTD,BX16,Peak,8244.076,1079,7.6349177
2020-01-01,Bronx,2,LCL/LTD,BX16,Off-Peak,4949.359,500,9.884562
2020-01-01,Bronx,2,LCL/LTD,BX16,Peak,1999.51,212,9.428278
2020-01-01,Bronx,1,LCL/LTD,BX17,Off-Peak,14545.37,2240,6.4918737
2020-01-01,Bronx,1,LCL/LTD,BX17,Peak,7343.03,1256,5.8459387
2020-01-01,Bronx,2,LCL/LTD,BX17,Off-Peak,5487.862,752,7.295576
2020-01-01,Bronx,2,LCL/LTD,BX17,Peak,2326.087,335,6.9359746
2020-01-01,Bronx,1,LCL/LTD,BX18,Off-Peak,2633.007,368,7.1478477
2020-01-01,Bronx,1,LCL/LTD,BX18,Peak,1759.105,276,6.3544974
2020-01-01,Bronx,2,LCL/LTD,BX18,Off-Peak,885.625,115,7.670165
2020-01-01,Bronx,2,LCL/LTD,BX18,Peak,413.089,55,7.402218
2020-01-01,Bronx,1,LCL/LTD,BX19,Off-Peak,26361.375,4540,5.8061366
2020-01-01,Bronx,1,LCL/LTD,BX19,Peak,10587.52,2047,5.1712
2020-01-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10922.518,1714,6.369272
2020-01-01,Bronx,2,LCL/LTD,BX19,Peak,4108.286,675,6.0861816
2020-01-01,Bronx,1,LCL/LTD,BX2,Off-Peak,19504.26,3410,5.7188706
2020-01-01,Bronx,1,LCL/LTD,BX2,Peak,9532.048,1707,5.5825577
2020-01-01,Bronx,2,LCL/LTD,BX2,Off-Peak,6471.063,1011,6.396329
2020-01-01,Bronx,2,LCL/LTD,BX2,Peak,2780.651,441,6.2990065
2020-01-01,Bronx,1,LCL/LTD,BX20,Off-Peak,627.05597,76,8.144201
2020-01-01,Bronx,1,LCL/LTD,BX20,Peak,2069.271,281,7.3445396
2020-01-01,Bronx,2,LCL/LTD,BX20,Off-Peak,30.309,3,8.862281
2020-01-01,Bronx,2,LCL/LTD,BX20,Peak,118.345,14,8.433302
2020-01-01,Bronx,1,LCL/LTD,BX21,Off-Peak,22213.73,3207,6.9247904
2020-01-01,Bronx,1,LCL/LTD,BX21,Peak,9254.211,1512,6.1165996
2020-01-01,Bronx,2,LCL/LTD,BX21,Off-Peak,7930.502,1004,7.8957233
2020-01-01,Bronx,2,LCL/LTD,BX21,Peak,2885.212,393,7.337295
2020-01-01,Bronx,1,LCL/LTD,BX22,Off-Peak,17081.12,2597,6.575603
2020-01-01,Bronx,1,LCL/LTD,BX22,Peak,8780.849,1474,5.9547024
2020-01-01,Bronx,2,LCL/LTD,BX22,Off-Peak,5947.597,820,7.251983
2020-01-01,Bronx,2,LCL/LTD,BX22,Peak,2147.186,316,6.778007
2020-01-01,Bronx,1,LCL/LTD,BX23,Off-Peak,9730.836,856,11.362221
2020-01-01,Bronx,1,LCL/LTD,BX23,Peak,7534.339,706,10.667855
2020-01-01,Bronx,2,LCL/LTD,BX23,Off-Peak,3205.1008,266,12.021396
2020-01-01,Bronx,2,LCL/LTD,BX23,Peak,1410.053,121,11.600123
2020-01-01,Bronx,1,LCL/LTD,BX24,Off-Peak,5349.599,550,9.710991
2020-01-01,Bronx,1,LCL/LTD,BX24,Peak,1870.187,215,8.661436
2020-01-01,Bronx,2,LCL/LTD,BX24,Off-Peak,2632.543,246,10.660982
2020-01-01,Bronx,2,LCL/LTD,BX24,Peak,907.459,85,10.654435
2020-01-01,Bronx,1,LCL/LTD,BX26,Off-Peak,13160.367,1799,7.3123794
2020-01-01,Bronx,1,LCL/LTD,BX26,Peak,7027.79,1050,6.688423
2020-01-01,Bronx,2,LCL/LTD,BX26,Off-Peak,4343.584,559,7.770202
2020-01-01,Bronx,2,LCL/LTD,BX26,Peak,1877.876,246,7.6172657
2020-01-01,Bronx,1,LCL/LTD,BX27,Off-Peak,6356.205,791,8.028876
2020-01-01,Bronx,1,LCL/LTD,BX27,Peak,3637.348,533,6.8121796
2020-01-01,Bronx,2,LCL/LTD,BX27,Off-Peak,2237.221,254,8.788705
2020-01-01,Bronx,2,LCL/LTD,BX27,Peak,904.22,117,7.71559
2020-01-01,Bronx,1,LCL/LTD,BX28,Off-Peak,18450.621,2486,7.420113
2020-01-01,Bronx,1,LCL/LTD,BX28,Peak,6010.6978,944,6.3647475
2020-01-01,Bronx,2,LCL/LTD,BX28,Off-Peak,6777.685,821,8.252886
2020-01-01,Bronx,2,LCL/LTD,BX28,Peak,2355.551,308,7.626049
2020-01-01,Bronx,1,LCL/LTD,BX29,Off-Peak,8317.157,556,14.952432
2020-01-01,Bronx,1,LCL/LTD,BX29,Peak,4131.683,296,13.9295
2020-01-01,Bronx,2,LCL/LTD,BX29,Off-Peak,4077.831,274,14.870655
2020-01-01,Bronx,2,LCL/LTD,BX29,Peak,1359.677,95,14.298176
2020-01-01,Bronx,1,LCL/LTD,BX3,Off-Peak,16525.457,2305,7.1674438
2020-01-01,Bronx,1,LCL/LTD,BX3,Peak,7034.713,1160,6.0641117
2020-01-01,Bronx,2,LCL/LTD,BX3,Off-Peak,7018.415,932,7.5233307
2020-01-01,Bronx,2,LCL/LTD,BX3,Peak,2905.147,403,7.2027745
2020-01-01,Bronx,1,LCL/LTD,BX30,Off-Peak,16311.22,2177,7.4918537
2020-01-01,Bronx,1,LCL/LTD,BX30,Peak,8762.907,1252,6.9987903
2020-01-01,Bronx,2,LCL/LTD,BX30,Off-Peak,5466.816,680,8.031827
2020-01-01,Bronx,2,LCL/LTD,BX30,Peak,2450.781,310,7.886319
2020-01-01,Bronx,1,LCL/LTD,BX31,Off-Peak,16736.072,2119,7.897173
2020-01-01,Bronx,1,LCL/LTD,BX31,Peak,7443.529,1067,6.9736776
2020-01-01,Bronx,2,LCL/LTD,BX31,Off-Peak,5240.762,596,8.793077
2020-01-01,Bronx,2,LCL/LTD,BX31,Peak,1992.858,235,8.445765
2020-01-01,Bronx,1,LCL/LTD,BX32,Off-Peak,10278.686,1779,5.7749634
2020-01-01,Bronx,1,LCL/LTD,BX32,Peak,5582.459,1050,5.312022
2020-01-01,Bronx,2,LCL/LTD,BX32,Off-Peak,2700.561,397,6.787669
2020-01-01,Bronx,2,LCL/LTD,BX32,Peak,1179.167,176,6.6948776
2020-01-01,Bronx,1,LCL/LTD,BX33,Off-Peak,4231.503,615,6.8772187
2020-01-01,Bronx,1,LCL/LTD,BX33,Peak,1964.147,359,5.4622817
2020-01-01,Bronx,2,LCL/LTD,BX33,Off-Peak,1170.004,152,7.648404
2020-01-01,Bronx,2,LCL/LTD,BX33,Peak,540.058,73,7.358156
2020-01-01,Bronx,1,LCL/LTD,BX34,Off-Peak,7555.0522,958,7.8813257
2020-01-01,Bronx,1,LCL/LTD,BX34,Peak,2459.5671,401,6.1266365
2020-01-01,Bronx,2,LCL/LTD,BX34,Off-Peak,2644.537,304,8.671016
2020-01-01,Bronx,2,LCL/LTD,BX34,Peak,1100.5701,131,8.397843
2020-01-01,Bronx,1,LCL/LTD,BX35,Off-Peak,11481.054,2031,5.650372
2020-01-01,Bronx,1,LCL/LTD,BX35,Peak,4693.618,986,4.758404
2020-01-01,Bronx,2,LCL/LTD,BX35,Off-Peak,4690.32,756,6.1969457
2020-01-01,Bronx,2,LCL/LTD,BX35,Peak,1760.088,298,5.888579
2020-01-01,Bronx,1,LCL/LTD,BX36,Off-Peak,29417.646,4781,6.1525693
2020-01-01,Bronx,1,LCL/LTD,BX36,Peak,13272.579,2323,5.7133374
2020-01-01,Bronx,2,LCL/LTD,BX36,Off-Peak,11277.66,1659,6.7951775
2020-01-01,Bronx,2,LCL/LTD,BX36,Peak,4405.618,677,6.502189
2020-01-01,Bronx,1,LCL/LTD,BX38,Off-Peak,8381.87,1221,6.859777
2020-01-01,Bronx,1,LCL/LTD,BX38,Peak,4517.138,700,6.444681
2020-01-01,Bronx,2,LCL/LTD,BX38,Off-Peak,3198.819,421,7.5848627
2020-01-01,Bronx,2,LCL/LTD,BX38,Peak,1331.506,179,7.411117
2020-01-01,Bronx,1,LCL/LTD,BX39,Off-Peak,19541.842,2922,6.685939
2020-01-01,Bronx,1,LCL/LTD,BX39,Peak,9030.333,1491,6.054179
2020-01-01,Bronx,2,LCL/LTD,BX39,Off-Peak,7986.54,1109,7.199115
2020-01-01,Bronx,2,LCL/LTD,BX39,Peak,3240.226,467,6.924937
2020-01-01,Bronx,1,LCL/LTD,BX4,Off-Peak,6043.409,914,6.6106787
2020-01-01,Bronx,1,LCL/LTD,BX4,Peak,2879.565,504,5.7033544
2020-01-01,Bronx,2,LCL/LTD,BX4,Off-Peak,2745.829,379,7.2371182
2020-01-01,Bronx,2,LCL/LTD,BX4,Peak,938.27704,140,6.70037
2020-01-01,Bronx,1,LCL/LTD,BX40,Off-Peak,15985.727,2373,6.735351
2020-01-01,Bronx,1,LCL/LTD,BX40,Peak,6105.201,1030,5.925545
2020-01-01,Bronx,2,LCL/LTD,BX40,Off-Peak,6184.868,835,7.400287
2020-01-01,Bronx,2,LCL/LTD,BX40,Peak,2127.426,306,6.9501266
2020-01-01,Bronx,1,LCL/LTD,BX41,Off-Peak,15369.236,2053,7.482664
